,X
226,3.0928847564417623
227,3.0945832328475436
228,3.0959420139721687
229,3.097029038871869
230,3.097898658791629
231,3.098594354727437
232,3.0988771384706695
233,3.0993771384706696
234,3.0999771384706696
235,3.1006971384706694
236,3.1015611384706694
237,3.1025979384706694
238,3.1038420984706696
239,3.10533509047067
240,3.1071266808706697
241,3.1092765893506695
242,3.1118564795266694
243,3.1149523477378693
244,3.1186673895913093
245,3.1231254398154373
246,3.128475100084391
247,3.1348946924071353
248,3.1425982031944284
249,3.1518424161391803
250,3.1629354716728826
251,3.1762471383133253
252,3.1922211382818566
253,3.211389938244094
254,3.231389938244094
255,3.251389938244094
256,3.271389938244094
257,3.291389938244094
258,3.311389938244094
259,3.331389938244094
260,3.351389938244094
261,3.371389938244094
262,3.391389938244094
263,3.411389938244094
264,3.431389938244094
265,3.4513899382440942
266,3.4713899382440943
267,3.4913899382440943
268,3.5113899382440943
269,3.5313899382440943
270,3.5513899382440943
271,3.5713899382440943
272,3.5913899382440944
273,3.6113899382440944
274,3.6313899382440944
275,3.6513899382440944
276,3.6713899382440944
277,3.6913899382440944
278,3.7113899382440945
279,3.7313899382440945
280,3.7513899382440945
281,3.7713899382440945
282,3.7913899382440945
283,3.8113899382440946
284,3.8313899382440946
285,3.8513899382440946
286,3.8713899382440946
287,3.8913899382440946
288,3.9113899382440946
289,3.9313899382440947
290,3.9513899382440947
291,3.9713899382440947
292,3.9913899382440947
293,4.011389938244094
294,4.029387378289409
295,4.043785330325662
296,4.055303691954664
297,4.064518381257865
298,4.0718901327004255
299,4.077787533854474
300,4.0825054547777135
301,4.086279791516305
302,4.089299260907178
303,4.091714836419876
304,4.093647296830035
305,4.095193265158162
306,4.096430039820664
307,4.097419459550665
308,4.098210995334666
309,4.0988442239618665
310,4.0988771384706695
